epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,learning_rate,timestamp
1,0.6914184491917565,0.8019113543176964,0.6457829685067631,0.8028644076593776,0.3054729256230906,0.9021732361915437,0.8173748055522859,0.8994805867156923,0.0001,2025-07-29T06:59:07.697132
2,0.2607586828654425,0.8986795129632228,0.7965056102321728,0.9164185238215282,0.3398980487506105,0.8986860950245968,0.7927194532778438,0.8993553280420062,0.0001,2025-07-29T07:07:43.384482
3,0.19422223321984183,0.9152518591272625,0.8319658789774573,0.9376283400754758,0.3526863962902165,0.8879755900118314,0.8302172198477393,0.9081674484035714,0.0001,2025-07-29T07:16:16.939361
4,0.1681901766125938,0.9240291224295715,0.8534651202599202,0.9492113510526788,0.2178230912790867,0.9286381468335513,0.8693381585883173,0.9505502850917823,0.0001,2025-07-29T07:24:50.571691
5,0.13885653492100394,0.9300001559016572,0.8641785336826906,0.9562036136777465,0.24523075278597514,0.9145650414098013,0.8404868084091497,0.9387629475757879,0.0001,2025-07-29T07:33:30.177666
6,0.12913014345272247,0.9314344511482157,0.8721204488446357,0.9597870013824702,0.18215939572769113,0.9402827075160346,0.8829509487407172,0.946138755735881,0.0001,2025-07-29T07:42:55.360485
7,0.11483010992404546,0.9405546980964408,0.888841847724137,0.9639648981438155,0.1803724768322551,0.9392863814683355,0.878410214318112,0.9433376479169745,0.0001,2025-07-29T07:52:17.282472
8,0.10358907432724825,0.942316386823192,0.8939252531976474,0.9661109499508918,0.1785318772944412,0.9398468148701663,0.9016669115141628,0.9514294639386531,0.0001,2025-07-29T08:01:54.577608
9,0.09349927414711198,0.9441248460471134,0.905247167287464,0.9709760692369519,0.19465294933833655,0.9361728625692758,0.8756657762167113,0.9494278914823339,0.0001,2025-07-29T08:11:00.660328
10,0.10005373756096608,0.9446393215159877,0.8985355983609022,0.9690012501115293,0.1697555753280232,0.943271685659132,0.8899218587921254,0.9567882726782615,0.0001,2025-07-29T08:19:51.199217
11,0.08901120105384665,0.9477105841635096,0.905265626344588,0.973877719744155,0.15395286562535307,0.9499346161031198,0.9055191180171261,0.9510132033597746,0.0001,2025-07-29T08:28:16.510303
12,0.07547350668777582,0.9515145846000344,0.9152026609013013,0.9757765314081862,0.15025227029282062,0.9491873715673455,0.9092599181327647,0.9549922676223781,0.0001,2025-07-29T08:36:58.137224
13,0.0781944184793389,0.9532139126638917,0.9223803810203638,0.9754221904103497,0.17372566159020827,0.9461361230462669,0.9044619031173381,0.9478611326992048,0.0001,2025-07-29T08:46:20.476330
14,0.06635636200229986,0.9543987652588747,0.9246899374503819,0.9792609235283753,0.1430779158924415,0.9523008904664051,0.9196151518623044,0.9489661886136345,0.0001,2025-07-29T08:55:46.078952
15,0.0766463586183159,0.9531515520009978,0.918654149836686,0.9760319612773358,0.18784550559579985,0.9394109222242979,0.8940175900873847,0.949032084186328,0.0001,2025-07-29T09:04:16.994250
16,0.054558218710242155,0.9587951919928909,0.9376769977732824,0.9833773602103844,0.1690178151917012,0.9476928824957968,0.9037855277512999,0.9445909584516243,0.0001,2025-07-29T09:13:31.844309
17,0.06821206266140416,0.9575635689007375,0.9266206484089927,0.9782244480868674,0.14879418546315198,0.9523008904664051,0.915237089115822,0.9544564710080135,0.0001,2025-07-29T09:23:04.986432
18,0.05532443171858591,0.960993405359899,0.9397887992735988,0.9827115128673573,0.1590609616008619,0.9491873715673455,0.9199766160637936,0.9528955950438067,0.0001,2025-07-29T09:32:18.330696
19,0.03263138735508115,0.9702539637996352,0.9634401327974693,0.9898831135479526,0.13953387693747982,0.9560371131452768,0.9236935603998543,0.9463991401932035,5e-05,2025-07-29T09:40:47.622130
20,0.0366218345488448,0.9692406030276102,0.9566025064020703,0.9880796417165248,0.148451815128922,0.9545426240737281,0.9212181585969205,0.9541830536363932,5e-05,2025-07-29T09:49:16.023508
