epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,learning_rate,timestamp
1,0.8092430670951454,0.6797444863312205,0.5503104677167939,0.5886891841900352,0.12020307158697312,0.9217760180995475,0.8688409016229093,0.9056817115429143,0.0001,2025-08-02T12:16:29.730503
2,0.47751224171168766,0.7388123655792347,0.636383954514593,0.7073833324910644,0.09284245647254033,0.9325226244343892,0.8846988241141284,0.9270918899390271,0.0001,2025-08-02T12:23:34.271582
3,0.40439164331645766,0.7428083630185058,0.6590754042667184,0.7387574299254178,0.08908335231370988,0.9322963800904978,0.8858914241798129,0.922304325441879,0.0001,2025-08-02T12:31:28.632765
4,0.35539779916062203,0.74837169276961,0.6593018468871623,0.7386499734725251,0.06938993525559968,0.9329185520361991,0.8957161655724325,0.9400677790003972,0.0001,2025-08-02T12:39:27.248026
5,0.3352132503905747,0.7505906785960719,0.6687746768932284,0.7527056363838852,0.06303873173413141,0.9356900452488688,0.8946716235781635,0.9401464349874331,0.0001,2025-08-02T12:47:18.132910
6,0.3081717198881742,0.7567868953848433,0.6843237794260981,0.7664340234595842,0.06648124061720825,0.9374434389140271,0.9024125861551322,0.9385274013322507,0.0001,2025-08-02T12:55:11.012143
7,0.28937639442676083,0.7574033673981735,0.6918130499438224,0.7792970168495177,0.06830958328641766,0.9388574660633484,0.9019331002092787,0.9431515714865584,0.0001,2025-08-02T13:03:10.426631
8,0.27607206312113364,0.7602514423641592,0.6937256402150357,0.7806669296207239,0.06387486389455727,0.9434954751131222,0.9020057408099713,0.9399281639485765,0.0001,2025-08-02T13:11:14.156655
9,0.2809091322038135,0.7543497662201639,0.6790746397258145,0.768009318533508,0.060836201297051834,0.9442873303167421,0.9054945036220937,0.9404101691300617,0.0001,2025-08-02T13:19:14.171320
10,0.251621262206658,0.7628501775796888,0.7049871574567974,0.7966029826762202,0.05595603574755311,0.9353506787330317,0.9019440535641837,0.9448032059657532,0.0001,2025-08-02T13:27:02.024779
11,0.24802071993121813,0.7625260450781816,0.6942241054077833,0.7829259177323405,0.08329093027501726,0.9244343891402715,0.8822772555205712,0.9355289749391051,0.0001,2025-08-02T13:34:58.763580
12,0.2372822648776009,0.7641709978264721,0.6993236344523189,0.7898866479973545,0.058728589456764416,0.9393665158371041,0.9081821782210615,0.9431311670932098,0.0001,2025-08-02T13:43:13.893048
13,0.2298911892157384,0.7664921012255983,0.7096218047129277,0.8006035793171516,0.05182813321834438,0.9400452488687783,0.9188955103764753,0.9439464783106157,0.0001,2025-08-02T13:51:18.043330
14,0.2243141522762816,0.7642378850639363,0.7088784977220477,0.8026870748769921,0.05289433883298694,0.9455316742081448,0.9098143579323005,0.9488975883785336,0.0001,2025-08-02T13:59:20.223289
15,0.2235662940749994,0.7619223519433769,0.6985699946186715,0.7902065234260698,0.07346758095188566,0.9536764705882353,0.9207405573935272,0.9385927865610711,0.0001,2025-08-02T14:07:08.860141
16,0.21482274440330337,0.7690344129364525,0.700579920046165,0.7914405352125987,0.0596763399833649,0.9430429864253393,0.9135413706055797,0.9487427588293844,0.0001,2025-08-02T14:14:40.935061
17,0.20821261748908002,0.762184369641507,0.7068370357961806,0.8027917315199149,0.05248259027008251,0.9457579185520362,0.9234984487992162,0.94502830533055,0.0001,2025-08-02T14:21:56.083543
18,0.18782985467990007,0.7659709443900885,0.7218531879064328,0.8207778494548047,0.06079650725934937,0.9503393665158371,0.9203397227866565,0.9384887604638816,5e-05,2025-08-02T14:29:07.388978
19,0.1751523352558279,0.7733572337385389,0.724031521768928,0.8199974241497959,0.05333342201929019,0.9495475113122172,0.9234801118038444,0.9444175143668471,5e-05,2025-08-02T14:36:14.914339
