image_path,predicted_class,probability
data/original/prymnesiophyceae/D20160705T232635_IFCB107_00091.png,prymnesiophyceae,0.8928209543228149
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00026.png,prymnesiophyceae,0.8963981866836548
data/original/prymnesiophyceae/D20160705T214443_IFCB107_00829.png,prymnesiophyceae,0.8753938674926758
data/original/prymnesiophyceae/D20160705T223623_IFCB107_00378.png,prymnesiophyceae,0.9057064652442932
data/original/prymnesiophyceae/D20160705T223623_IFCB107_00126.png,prymnesiophyceae,0.8969683647155762
data/original/prymnesiophyceae/D20160705T232635_IFCB107_00297.png,prymnesiophyceae,0.8904924392700195
data/original/prymnesiophyceae/D20160706T134338_IFCB107_00230.png,prymnesiophyceae,0.8886798620223999
data/original/prymnesiophyceae/D20160706T160929_IFCB107_00121.png,prymnesiophyceae,0.9245259165763855
data/original/prymnesiophyceae/D20160706T134338_IFCB107_00426.png,prymnesiophyceae,0.9004607796669006
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00201.png,prymnesiophyceae,0.8902187943458557
data/original/prymnesiophyceae/D20160706T023442_IFCB107_00152.png,prymnesiophyceae,0.8771591186523438
data/original/prymnesiophyceae/D20160705T223623_IFCB107_00096.png,prymnesiophyceae,0.913314163684845
data/original/prymnesiophyceae/D20160705T202753_IFCB107_00504.png,prymnesiophyceae,0.9080985188484192
data/original/prymnesiophyceae/D20160707T161116_IFCB107_00707.png,prymnesiophyceae,0.8879005908966064
data/original/prymnesiophyceae/D20160706T125255_IFCB107_00281.png,prymnesiophyceae,0.9152060151100159
data/original/prymnesiophyceae/D20160706T045145_IFCB107_00379.png,prymnesiophyceae,0.8968771696090698
data/original/prymnesiophyceae/D20160706T125255_IFCB107_00083.png,prymnesiophyceae,0.9396303296089172
data/original/prymnesiophyceae/D20160706T122505_IFCB107_00668.png,prymnesiophyceae,0.8232704997062683
data/original/prymnesiophyceae/D20160705T232635_IFCB107_00716.png,prymnesiophyceae,0.8772470355033875
data/original/prymnesiophyceae/D20160705T214443_IFCB107_00543.png,prymnesiophyceae,0.8668437004089355
data/original/prymnesiophyceae/D20160705T214443_IFCB107_00030.png,prymnesiophyceae,0.9127002358436584
data/original/prymnesiophyceae/D20160705T223623_IFCB107_00701.png,prymnesiophyceae,0.8867623805999756
data/original/prymnesiophyceae/D20160705T205351_IFCB107_00523.png,prymnesiophyceae,0.9395663142204285
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00971.png,prymnesiophyceae,0.8797729015350342
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00641.png,prymnesiophyceae,0.8999898433685303
data/original/prymnesiophyceae/D20160706T125255_IFCB107_01692.png,prymnesiophyceae,0.9132142663002014
data/original/prymnesiophyceae/D20160706T045145_IFCB107_00811.png,prymnesiophyceae,0.8623222708702087
data/original/prymnesiophyceae/D20160707T161116_IFCB107_00998.png,prymnesiophyceae,0.8884826302528381
data/original/prymnesiophyceae/D20160705T214443_IFCB107_00268.png,prymnesiophyceae,0.8797794580459595
data/original/prymnesiophyceae/D20160706T045145_IFCB107_00858.png,prymnesiophyceae,0.9317890405654907
data/original/prymnesiophyceae/D20160705T205351_IFCB107_00216.png,prymnesiophyceae,0.8910205364227295
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00644.png,prymnesiophyceae,0.8802052736282349
data/original/prymnesiophyceae/D20160705T221017_IFCB107_00584.png,prymnesiophyceae,0.889643132686615
data/original/prymnesiophyceae/D20160706T122505_IFCB107_00588.png,prymnesiophyceae,0.8913345336914062
data/original/prymnesiophyceae/D20160706T045145_IFCB107_00008.png,prymnesiophyceae,0.8969067335128784
data/original/prymnesiophyceae/D20160705T221017_IFCB107_00304.png,prymnesiophyceae,0.9115747213363647
data/original/prymnesiophyceae/D20160705T205351_IFCB107_00497.png,prymnesiophyceae,0.8904295563697815
data/original/prymnesiophyceae/D20160705T205351_IFCB107_00537.png,prymnesiophyceae,0.8725992441177368
data/original/prymnesiophyceae/D20160706T042556_IFCB107_00583.png,prymnesiophyceae,0.8893490433692932
data/original/prymnesiophyceae/D20160707T161116_IFCB107_00191.png,prymnesiophyceae,0.8882076740264893
data/original/prymnesiophyceae/D20160706T125255_IFCB107_02798.png,prymnesiophyceae,0.9444988369941711
